Company,Phone,City,State,Power Units,Status,Tag,Call_Attempts,Last_Called
TY HICKS TRUCKING LLC,(984) 365-1867,DURHAM,NC,1,,ACTIVE SMALL FLEET,0,
GENESIS TRANSPORT AND ROADSIDE LLC,(951) 870-8297,CELINA,TX,1,,ACTIVE SMALL FLEET,0,
MAKOVSKI INC,(513) 518-2367,CINCINNATI,OH,1,,ACTIVE SMALL FLEET,0,
MONTEIRO'S TRANSPORTATION LLC,(401) 837-0192,JOHNSTON,RI,1,,ACTIVE SMALL FLEET,0,
LF LOGISTICS LLC,(205) 200-6072,ALICEVILLE,AL,1,,ACTIVE SMALL FLEET,0,
CUMMINGS CONSTRUCTION LLC,(606) 634-6373,WHITESBURG,KY,2,,ACTIVE SMALL FLEET,0,
UNITE TRANSPORT INC,(510) 931-3401,FRESNO,CA,2,,ACTIVE SMALL FLEET,0,
MY TRUCK TRANSPO LLC,(404) 695-8598,LOGANVILLE,GA,2,,ACTIVE SMALL FLEET,0,
NICKELS TRUCKING LLC,(304) 514-4379,WEST COLUMBIA,WV,1,,ACTIVE SMALL FLEET,0,
BOSSLADY TRANSPORTATION LLC,(810) 287-4670,FLINT,MI,1,,ACTIVE SMALL FLEET,0,
NEXT EQUIPMENT RENTALS LLC,(203) 232-5100,MIDDLEBURY,CT,2,,ACTIVE SMALL FLEET,0,
ROCKIN AW TRANSPORT LLC,(979) 250-3524,ROUND TOP,TX,1,,ACTIVE SMALL FLEET,0,
MEFI BOSET EXPRESS LLC,(305) 522-7468,HOMESTEAD,FL,1,,ACTIVE SMALL FLEET,0,
SWIFF T SERVICES LLC,(281) 770-0152,BEAUMONT,TX,1,,ACTIVE SMALL FLEET,0,
GCHAHAL TRANSPORT INC,(209) 662-3516,LATHROP,CA,1,,ACTIVE SMALL FLEET,0,
SOUTH AIKEN HAULING LLC,(803) 640-6398,AIKEN,SC,1,,ACTIVE SMALL FLEET,0,
GREEN LIGHT EXPRESS LLC,(480) 454-9801,GLENDALE,AZ,1,,ACTIVE SMALL FLEET,0,
LOGISTICS GIANT LLC,(770) 240-4953,ATLANTA,GA,1,,ACTIVE SMALL FLEET,0,
SONJA B MEDINA,(620) 640-1182,HOLCOMB,KS,1,,ACTIVE SMALL FLEET,0,
RODOLFO MONTES LEMUS,(702) 235-7278,LAS VEGAS,NV,2,,ACTIVE SMALL FLEET,0,
WILLISTICS LLC,(989) 251-3624,LANSING,MI,0,,ACTIVE SMALL FLEET,0,
TOS TRANS INC,(929) 884-3717,PHILADELPHIA,PA,1,,ACTIVE SMALL FLEET,0,
STONEFIRE TRANSPORT INC,(310) 895-1182,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
BOZA LOGISTICS LLC,(826) 205-5665,NORFOLK,VA,0,,ACTIVE SMALL FLEET,0,
DENNY'S SERVICES LLC,(574) 238-7069,GOSHEN,IN,1,,ACTIVE SMALL FLEET,0,
GLO BUS INC,(815) 474-0800,DOWNERS GROVE,IL,1,,ACTIVE SMALL FLEET,0,
ABLE & READY TRANSPORTATION INC,(615) 944-8509,FRANKLIN,TN,1,,ACTIVE SMALL FLEET,0,
FASHIONOVIA USA INC,(213) 819-8622,HACIENDA HEIGHTS,CA,1,,ACTIVE SMALL FLEET,0,
SUPREME CARRIER SERVICES CORP,(224) 601-8088,CHICAGO,IL,1,,ACTIVE SMALL FLEET,0,
TYLER J PALLOKAT,(315) 283-3817,SCIPIO,NY,1,,ACTIVE SMALL FLEET,0,
RODEEN TRUCKING LLC,N/A,WATERTOWN,SD,1,,ACTIVE SMALL FLEET,0,
INTEGRITY II LOGISTICS LLC,(832) 885-6194,HOUSTON,TX,1,,ACTIVE SMALL FLEET,0,
NUNOW CARRIER LLC,(612) 231-3639,SAINT CLOUD,MN,2,,ACTIVE SMALL FLEET,0,
RUNNING COYOTE LLC,(832) 971-1598,HOCKLEY,TX,1,,ACTIVE SMALL FLEET,0,
ALAYDI 1971 TRANSPORT LLC,(256) 227-5772,TRINITY,AL,1,,ACTIVE SMALL FLEET,0,
ULTRA INSTINCT TRANSPORT,(626) 213-6840,ARCADIA,CA,1,,ACTIVE SMALL FLEET,0,
DRZ TRANSPORT LLC,(815) 786-5163,DEKALB,IL,1,,ACTIVE SMALL FLEET,0,
MEANS TRUCKING LLC,(712) 899-2399,MARCUS,IA,1,,ACTIVE SMALL FLEET,0,
JOSAFAT SANCHEZ,(620) 640-8015,GARDEN CITY,KS,2,,ACTIVE SMALL FLEET,0,
GOLDEN MILE LLC,(513) 878-5151,MAINVILLE,OH,1,,ACTIVE SMALL FLEET,0,
LYNCH SERVICES INC,(260) 571-4187,WABASH,IN,1,,ACTIVE SMALL FLEET,0,
BUCEFALO TRANSPORTATION LLC,(520) 305-8585,TUCSON,AZ,1,,ACTIVE SMALL FLEET,0,
PRIME ROUTE INC,(347) 996-6176,DAYTON,OH,1,,ACTIVE SMALL FLEET,0,
DAK FERNANDEZ ENTERPRISES LLC,(716) 413-1449,DUNKIRK,NY,1,,ACTIVE SMALL FLEET,0,
MOH LLC,(206) 822-9991,SAINT PAUL,MN,2,,ACTIVE SMALL FLEET,0,
ZAO TRANSPORT LOGISTICS LLC,(973) 789-5429,BETHLEHEM,PA,1,,ACTIVE SMALL FLEET,0,
JSS HAUL CONNECTIONS LLC,(323) 898-8900,LOS ANGELES,CA,1,,ACTIVE SMALL FLEET,0,
BLACK SHEEP LOGISTICS LLC,N/A,HAZLETON,PA,1,,ACTIVE SMALL FLEET,0,
WHITLOCK MILLS LLC,(731) 336-4892,PARIS,TN,1,,ACTIVE SMALL FLEET,0,
SPA TRANSPORT LLC,(909) 530-5274,BLOOMINGTON,CA,1,,ACTIVE SMALL FLEET,0,
RRB TRANSPORT LLC,(424) 422-4339,BUENA PARK,CA,2,,ACTIVE SMALL FLEET,0,
M K FREIGHTWAYS INC,(559) 999-5302,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
615 TRANSPORT SERVICES LLC,(615) 540-4494,ANTIOCH,TN,2,,ACTIVE SMALL FLEET,0,
IJH INDUSTRIES LLC,(681) 238-0370,BECKLEY,WV,2,,ACTIVE SMALL FLEET,0,
BONAFIDE TRANSPORTATION LLC,(561) 768-8346,HINESVILLE,GA,2,,ACTIVE SMALL FLEET,0,
PURE VISION TRANSPORTATION LLC,(216) 333-2143,BROOKLYN,OH,1,,ACTIVE SMALL FLEET,0,
RZ EXPRESS LLC,(239) 699-2356,HOMESTEAD,FL,1,,ACTIVE SMALL FLEET,0,
JOHN E BALES,(805) 588-3451,PRATT,KS,1,,ACTIVE SMALL FLEET,0,
8AP TRANSPORT LLC,(717) 635-0590,MCALLEN,TX,1,,ACTIVE SMALL FLEET,0,
VCA FREMONT NE LLC,(531) 219-2562,FREMONT,NE,2,,ACTIVE SMALL FLEET,0,
JON SIBLEY TRUCKING LLC,(906) 364-2543,IRONWOOD,MI,1,,ACTIVE SMALL FLEET,0,
CODLINE EXPRESS LLC,(860) 308-9869,HARTFORD,CT,1,,ACTIVE SMALL FLEET,0,
A A TRANSPORTERS LLC,(530) 567-0264,COLUSA,CA,1,,ACTIVE SMALL FLEET,0,
ALASKA CAR CARRIER LLC,(786) 429-5556,HIALEAH,FL,2,,ACTIVE SMALL FLEET,0,
5S TRANSPORT LLC,(620) 214-1495,MODOC,KS,1,,ACTIVE SMALL FLEET,0,
BT TRANSIT OF OHIO LLC,(419) 618-8752,REPUBLIC,OH,2,,ACTIVE SMALL FLEET,0,
R S J TRANSPORTS LLC,(209) 620-2467,PATTERSON,CA,1,,ACTIVE SMALL FLEET,0,
DAURIA TRUCKING LLC,(716) 517-0211,BUFFALO,NY,2,,ACTIVE SMALL FLEET,0,
WARAN TRANSPORT INC,(408) 599-0283,MANTECA,CA,1,,ACTIVE SMALL FLEET,0,
JIMMY JAMES TRANSPORT A2Z LLC,(574) 993-1295,NORTH LIBERTY,IN,2,,ACTIVE SMALL FLEET,0,
ROADLINE LOGISTICS INC,(347) 874-1312,NAPERVILLE,IL,1,,ACTIVE SMALL FLEET,0,
BROOKS ELITE TRANSPORT LLC,(478) 406-3810,GRAY,GA,0,,ACTIVE SMALL FLEET,0,
COPP ENTERPRISES LLC,(715) 721-5327,UNITY,WI,1,,ACTIVE SMALL FLEET,0,
MCMILLAN LOGISTICS LLC,(334) 379-2021,DAVENPORT,FL,1,,ACTIVE SMALL FLEET,0,
ROADRUNNER LOGISTICS 98 LLC,(321) 662-7965,KISSIMMEE,FL,1,,ACTIVE SMALL FLEET,0,
SOG TRANSPORTATION LLC,(206) 919-3005,RENTON,WA,1,,ACTIVE SMALL FLEET,0,
JESUS ROMERO,(806) 202-7652,PERRYTON,TX,2,,ACTIVE SMALL FLEET,0,
SPARKY'S LOGISTICS LLC,(910) 920-5763,MOYOCK,NC,1,,ACTIVE SMALL FLEET,0,
BARIS TRUCKING LLC,(747) 319-0047,MORENO VALLEY,CA,1,,ACTIVE SMALL FLEET,0,
CV TRANSPORT LLC,N/A,CASPER,WY,2,,ACTIVE SMALL FLEET,0,
DSA TRUCKING LLC,(703) 864-4435,LEESBURG,VA,1,,ACTIVE SMALL FLEET,0,
TESSERACT TRUCKING,(562) 242-6716,LA HABRA,CA,1,,ACTIVE SMALL FLEET,0,
MICAH PERRY,(505) 644-6275,SIDNEY,NE,1,,ACTIVE SMALL FLEET,0,
HONG BO EXPRESS INC,(626) 905-9866,MONTEREY PARK,CA,1,,ACTIVE SMALL FLEET,0,
COOPERS TRUCKING AND HAULING LLC,(540) 353-3879,ROANOKE,VA,1,,ACTIVE SMALL FLEET,0,
MADERA TRUCKING LLC,(630) 697-8669,EAST CHICAGO,IN,2,,ACTIVE SMALL FLEET,0,
JB & WB LOGISTICS LLC,(484) 331-8616,READING,PA,1,,ACTIVE SMALL FLEET,0,
MDK TRANSPORT LLC,(509) 342-0436,AIRWAY HEIGHTS,WA,2,,ACTIVE SMALL FLEET,0,
ALESSANDRO MULTISERVICE LLC,(123) 927-8279,FORT MEYERS,FL,1,,ACTIVE SMALL FLEET,0,
TRIPLE M TRANSPORTATION LLC,(412) 301-6249,MC KEES ROCKS,PA,1,,ACTIVE SMALL FLEET,0,
UNITED CARGO CARRIER LLC,(609) 372-3150,HARRISBURG,PA,1,,ACTIVE SMALL FLEET,0,
ELKRIDGE TRANSPORT LLC,(360) 410-9657,EVERSON,WA,1,,ACTIVE SMALL FLEET,0,
GR DISPATCHER SERVICES LLC,(407) 541-9916,TAVARES,FL,1,,ACTIVE SMALL FLEET,0,
1R & T TRANSPORT LLC,(786) 843-6170,ORLANDO,FL,1,,ACTIVE SMALL FLEET,0,
OAKES TRUCKING LLC,(918) 625-8105,MANNFORD,OK,1,,ACTIVE SMALL FLEET,0,
DOWN HOME EXPRESS LLC,(386) 241-7713,KNOXVILLE,TN,1,,ACTIVE SMALL FLEET,0,
JK EMPIRE LLC,(407) 922-4467,KISSIMMEE,FL,1,,ACTIVE SMALL FLEET,0,
SWIFT MOVES LLC,(727) 501-3447,SAINT PETERSBURG,FL,1,,ACTIVE SMALL FLEET,0,
J&M AUTO MOBILE LLC,(445) 221-8821,MIDDELTOWN,PA,1,,ACTIVE SMALL FLEET,0,
BIG DAVE'S TRUCKING LLC,(501) 563-9001,LITTLE ROCK,AR,2,,ACTIVE SMALL FLEET,0,
OCEAN CONTAINERS LOGISTICS LLC,(209) 616-9489,LOTHROP,CA,1,,ACTIVE SMALL FLEET,0,
MOON LOGISTICS INC,(463) 444-1509,GREENWOOD,IN,1,,ACTIVE SMALL FLEET,0,
FRITZ HAULING LLC,(785) 214-1195,LOUISA,VA,1,,ACTIVE SMALL FLEET,0,
SHAWN'S FENCING LLC,(316) 214-5882,WICHITA,KS,1,,ACTIVE SMALL FLEET,0,
GA EXPRESS LLC,(501) 759-6166,LITTLE ROCK,AR,2,,ACTIVE SMALL FLEET,0,
JPW TRUCKING LLC,(405) 756-0414,TUTTLE,OK,1,,ACTIVE SMALL FLEET,0,
BADSAR TRANS CARRIER INC,(909) 961-6116,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
ARGO FREIGHT INC,(937) 500-9195,FRANKLIN,OH,2,,ACTIVE SMALL FLEET,0,
GENO EXPRESS LLC,(586) 876-6295,TROY,MI,1,,ACTIVE SMALL FLEET,0,
KYLE WESTLAKE,(308) 430-5281,HAY SPRINGS,NE,1,,ACTIVE SMALL FLEET,0,
A&G ROAD SERVICE LLC,(201) 204-2043,JERSEY CITY,NJ,1,,ACTIVE SMALL FLEET,0,
5 TAYLOR TRUCKING LLC,(276) 492-8760,GLADE SPRING,VA,1,,ACTIVE SMALL FLEET,0,
J&D TX LLC,(903) 285-8341,MOUNT PLEASANT,TX,1,,ACTIVE SMALL FLEET,0,
PICK UP AND GO TRUCKING LLC,(602) 545-9115,PHOENIX,AZ,2,,ACTIVE SMALL FLEET,0,
JACK OF ALL TRUCKS LLC,(267) 815-1148,PHILADELPHIA,PA,1,,ACTIVE SMALL FLEET,0,
KINGPIN TRUCKING LLC,(602) 486-3803,GLENDALE,AZ,2,,ACTIVE SMALL FLEET,0,
LEANID LAPATSKI,(916) 832-4212,SACRAMENTO,CA,1,,ACTIVE SMALL FLEET,0,
E OUTLET DEPOT LLC,(786) 309-8107,JACKSONVILLE,FL,1,,ACTIVE SMALL FLEET,0,
KEVIN DALE HORN,(530) 227-6514,LA PINE,OR,2,,ACTIVE SMALL FLEET,0,
CACHASFLOJAS LOGISTICS SERVICES LLC,(602) 888-1970,MESA,AZ,1,,ACTIVE SMALL FLEET,0,
VILLANUEVA EXPRESS LLC,(831) 774-3603,GUADALUPE,CA,1,,ACTIVE SMALL FLEET,0,
TMHG TRANSPORT LLC,(551) 381-3542,PISCATAWAY,NJ,1,,ACTIVE SMALL FLEET,0,
ARTFAST INC,(630) 659-4446,BUFFALO GROVE,IL,1,,ACTIVE SMALL FLEET,0,
G&L INC,(213) 587-0092,GLENDORA,CA,1,,ACTIVE SMALL FLEET,0,
MEWA TRANS LLC,(253) 878-0346,COVINGTON,WA,1,,ACTIVE SMALL FLEET,0,
THIN LINE SUPPLY INC,(877) 224-4880,MINIER,IL,1,,ACTIVE SMALL FLEET,0,
STOLEN HORSES EXPRESS LLC,(616) 881-7175,CHASE,MI,1,,ACTIVE SMALL FLEET,0,
RMM TRANSPORTATION INC,(515) 491-7967,DES MOINES,IA,2,,ACTIVE SMALL FLEET,0,
DALE MATTINGLY FARMS LLC,(270) 302-4872,SACRAMENTO,KY,1,,ACTIVE SMALL FLEET,0,
EXPORTIZ LOGISTICS LLC,(512) 558-1576,LOCKHART,TX,1,,ACTIVE SMALL FLEET,0,
REPE'S TRANSPORT INC,(661) 561-7612,BAKERSFIELD,CA,1,,ACTIVE SMALL FLEET,0,
956YJ LLC,(669) 649-9999,MONTEREY PARK,CA,1,,ACTIVE SMALL FLEET,0,
WHITE CITY FARMS AND TRUCKING LLC,(931) 304-4843,TRACY CITY,TN,1,,ACTIVE SMALL FLEET,0,
YOUR FREIGHT HAULERS LLC,(615) 390-1561,BAXTER,TN,1,,ACTIVE SMALL FLEET,0,
HC TRUCKING LLC,(515) 401-8663,ALLERTON,IA,1,,ACTIVE SMALL FLEET,0,
DNJ TRANSPORT LLC,(509) 584-8211,TOPPENISH,WA,1,,ACTIVE SMALL FLEET,0,
K3 FREIGHTS LTD,(719) 755-2134,COLORADO SPRINGS,CO,2,,ACTIVE SMALL FLEET,0,
MP TRUCKING CORP,(323) 649-0628,NORTH LAS VEGAS,NV,1,,ACTIVE SMALL FLEET,0,
AGAPE WAY LLC,(803) 665-6554,COLUMBIA,SC,0,,ACTIVE SMALL FLEET,0,
SOUTHERN HILLS TRUCKING LLC,(315) 955-4984,CORTLAND,NY,1,,ACTIVE SMALL FLEET,0,
4 ACES TRUCKING LLC,(442) 271-6751,YUMA,AZ,1,,ACTIVE SMALL FLEET,0,
BARABE TRANSPORT INC,(450) 521-3836,,,1,,ACTIVE SMALL FLEET,0,
KODY SHAFFER TRUCKING LLC,(814) 952-2827,KENNERDELL,PA,1,,ACTIVE SMALL FLEET,0,
GB EXPRESS SERVICES INC,(332) 200-2411,GOODYEAR,AZ,1,,ACTIVE SMALL FLEET,0,
GOOD VIBES TRANSPORT LLC,(513) 501-6053,HAMILTON,OH,1,,ACTIVE SMALL FLEET,0,
DHAWAN CARGO INC,(559) 999-2906,FRESNO,CA,1,,ACTIVE SMALL FLEET,0,
BECERRA JR TRUCKING LLC,(551) 327-7948,WEEHAWKEN,NJ,1,,ACTIVE SMALL FLEET,0,
TROCHEZ TRUCKING LLC,(320) 295-8004,WILLMAR,MN,2,,ACTIVE SMALL FLEET,0,
ROAD MONSTERS PRO INC,(404) 790-1939,ALBANY,GA,0,,ACTIVE SMALL FLEET,0,
LYFE'S GOOD LOGISTICS LLC,(317) 442-9121,GREENFIELD,IN,1,,ACTIVE SMALL FLEET,0,
WALDRON TRANSPORT SOLUTIONS LLC,(402) 705-6196,JUNIATA,NE,1,,ACTIVE SMALL FLEET,0,
RMB ENTERPRISES INC,(319) 558-8482,GOLDEN,CO,1,,ACTIVE SMALL FLEET,0,
MANNA TRANS INC,(661) 203-5634,BAKERSFIELD,CA,1,,ACTIVE SMALL FLEET,0,
4PF TRUCKING LLC,(229) 206-6862,SYLVESTER,GA,1,,ACTIVE SMALL FLEET,0,
ALSEN TRANSPORTATION INC,(240) 565-9200,SILVER SPRING,MD,0,,ACTIVE SMALL FLEET,0,
DIAMOND 3 INC,(208) 449-6611,RATHDRUM,ID,1,,ACTIVE SMALL FLEET,0,
HIGH POINT LOGISTICS LLC,(430) 775-3628,ATHENS,TX,1,,ACTIVE SMALL FLEET,0,
RKK TRUCKING LLC,(531) 888-4034,STUART,NE,1,,ACTIVE SMALL FLEET,0,
DIAMOND D TRUCKING LLC,(907) 321-2635,CULVER,OR,1,,ACTIVE SMALL FLEET,0,
NATIONAL TRUCKING LLC,(320) 428-5043,SAINT CLOUD,MN,1,,ACTIVE SMALL FLEET,0,
MICHAEL WARD,(308) 340-2000,MCCOOK,NE,2,,ACTIVE SMALL FLEET,0,
GILBERT TRANSPORT SERVICES LLC,(602) 326-7576,AVONDALE,AZ,1,,ACTIVE SMALL FLEET,0,
PADILLA NO LIMITS LOGISTIC LLC,(407) 960-9117,ORLANDO,FL,2,,ACTIVE SMALL FLEET,0,
GRANDPA TRANSPORTATION LLC,(346) 309-9867,SWEENY,TX,1,,ACTIVE SMALL FLEET,0,
1556951 ONTARIO INC,(905) 540-1228,,,1,,ACTIVE SMALL FLEET,0,
BEVAPER TRUCKING SERVICES LLC,(610) 914-4244,WYOMISSING,PA,2,,ACTIVE SMALL FLEET,0,
